Station Name,Ticket Zone,x,y,Latitude,Longitude
Piccadilly Circus,1,380,291,51.51010128,-0.133994054
Pimlico,1,342,371,51.48926702,-0.13371586
Pinner,5,140.5,84.5,51.59292022,-0.380877555
Plaistow,3,685,230,51.53128621,0.017807961
Preston Road,4,231,108.3,51.5720977,-0.295226402
Putney Bridge,2,256,398,51.46797822,-0.208948328
Queen's Park,2,218,181,51.53416707,-0.204675391
Queensbury,4,250,92,51.59440807,-0.285756688
Queensway,1,291,265,51.51045317,-0.187402539
Ravenscourt Park,2,202,331,51.49421127,-0.236225664
Rayners Lane,5,118,102,51.57503974,-0.370959601
Redbridge,4,692,130,51.57636834,0.045413423
Regent's Park,1,351,240,51.52357375,-0.146845189
Richmond,4,148,390,51.46323213,-0.301717924
Rickmansworth,7,100,44.81280183,51.6403275,-0.473664594
Roding Valley,4,679,71,51.61717995,0.04385609
Royal Oak,2,240,222,51.51909054,-0.188212572
Ruislip,6,86,78,51.57151189,-0.421416905
Ruislip Gardens,5,75,107,51.56065141,-0.410993312
Ruislip Manor,6,98,83,51.57324677,-0.412305976
Russell Square,1,427,243,51.52298149,-0.124290511
Seven Sisters,3,562,116,51.58341409,-0.07247832
Shepherd's Bush,2,237,265,51.50452058,-0.218739321
Shepherd's Bush Market,2,217,295,51.50562676,-0.22628142
Sloane Square,1,320,330,51.49236161,-0.156471428
Snaresbrook,4,667,108,51.58089355,0.021492179
South Ealing,3,112,328,51.50143958,-0.306982297
South Harrow,5,121,123,51.56474276,-0.352171569
South Kensington,1,296,326,51.49407225,-0.173903021
South Kenton,4,218,115,51.57023141,-0.308554798
South Ruislip,5,75,128,51.55657581,-0.398609938
South Wimbledon,3,308,518,51.41535869,-0.191946864
South Woodford,4,667,98,51.59179344,0.027321779
Southfields,3,256,423,51.44500591,-0.206514155
Southgate,4,536,48,51.63237561,-0.127741029
Southwark,1,427,363,51.50391204,-0.105079612
St. James's Park,1,356,330,51.49941708,-0.134167037
St. John's Wood,2,325,188,51.5346295,-0.174155402
St. Paul's,1,456,271,51.51487573,-0.097559304
Stamford Brook,2,180,331,51.49486533,-0.245421899
Stanmore,5,250,70,51.61967321,-0.303078406
Stepney Green,2,579,257,51.52197932,-0.046455251
Stockwell,2,384,443,51.47224114,-0.122895213
Stonebridge Park,3,218,142,51.54398955,-0.275371113
Stratford,3,650,197,51.54137766,-0.003185389
Sudbury Hill,4,121,141,51.55706008,-0.336185424
Sudbury Town,4,121,158,51.55084628,-0.315443563
Swiss Cottage,2,317,181,51.54338298,-0.174736507
Temple,1,427,330,51.51104185,-0.113692896
Theydon Bois,6,667,18,51.67177323,0.103118143
Tooting Bec,3,337,490,51.43583612,-0.159677894
Tooting Broadway,3,327,500,51.42751601,-0.167954323
Tottenham Court Road,1,400,265,51.51627608,-0.13085605
Tottenham Hale,3,581,116,51.58811284,-0.060276117
Totteridge,4,440,34,51.63026513,-0.179247175
Tower Hill,1,529,296,51.5101391,-0.076335576
Tufnell Park,2,440,121,51.55673669,-0.137907511
Turnham Green,2,161,331,51.49518509,-0.254500038
Turnpike Lane,3,536,92,51.59036417,-0.102786628
Upminster,6,787,128,51.5589594,0.251068748
Upminster Bridge,6,777,138,51.55882233,0.235751225
Upney,4,721,194,51.53840422,0.101558788
Upton Park,3,692,221,51.53530067,0.035269676
Uxbridge,6,10,78,51.5465585,-0.478086633
Vauxhall,1,351,411,51.48580284,-0.123728675
Victoria,1,342,330,51.49641574,-0.143828518
Walthamstow Central,3,628,116,51.58302266,-0.01991023
Wanstead,4,680,131,51.57558605,0.028739769
Warren Street,1,400,227,51.52458249,-0.138254185
Warwick Avenue,2,232,205,51.52334544,-0.183649798
Waterloo,1,400,351,51.50357644,-0.114051784
Watford,7,105,27,51.65747277,-0.417233505
Wembley Central,4,218,133,51.55239319,-0.296820887
Wembley Park,4,249,123,51.56332139,-0.279220664
West Acton,3,147,265,51.51792853,-0.280959813
West Brompton,2,256,354,51.48732681,-0.195513643
West Finchley,4,440,56,51.60954907,-0.188445598
West Ham,3,666,241,51.52825723,0.005040569
West Hampstead,2,299,164,51.5467709,-0.19072983
West Harrow,5,150,107,51.57983396,-0.352886823
West Kensington,2,247,332,51.49056563,-0.206454516
West Ruislip,6,75,62,51.56959165,-0.437840503
Westbourne Park,2,232,230,51.52099106,-0.200858
Westminster,1,382,330,51.50115697,-0.124793827
White City,2,208,265,51.51204421,-0.224221914
Whitechapel,2,569,267,51.51952926,-0.059968492
Willesden Green,2,280,144,51.54937691,-0.222378339
Willesden Junction,2,218,164,51.53225984,-0.244259053
Wimbledon,3,256,444,51.42146487,-0.206353858
Wimbledon Park,3,256,434,51.43453896,-0.199572031
Wood Green,3,536,81,51.59753627,-0.109617731
Wood Lane,2,217,275,51.50995828,-0.224245427
Woodford,4,667,87,51.60709356,0.034027185
Woodside Park,4,440,45,51.61787278,-0.185394277
